station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,total_precipitation,fog,rain,snow,hail,thunder,tornado,formatted_date
725327,99999,2005,10,25,49.29999923706055,10,37.400001525878906,10,1017.7999877929688,10,10.0,10,10.300000190734863,10,13.0,20.0,39.0,0,0.019999999552965164,0,0,0,0,0,0,2005-10-25
725316,99999,2005,2,17,30.100000381469727,22,16.200000762939453,22,1023.2000122070312,22,10.0,22,11.5,22,21.0,27.0,24.100000381469727,0,0.0,0,0,0,0,0,0,2005-02-17
725316,99999,2005,10,11,59.099998474121094,23,52.599998474121094,23,1019.2999877929688,22,9.899999618530273,23,4.599999904632568,23,8.0,22.0,55.0,0,0.0,0,0,0,0,0,0,2005-10-11
725316,99999,2005,10,25,46.70000076293945,23,36.400001525878906,23,1018.9000244140625,22,10.0,23,11.199999809265137,23,15.899999618530273,22.0,42.79999923706055,1,0.0,0,0,0,0,0,0,2005-10-25
725314,99999,2005,10,18,65.30000305175781,23,50.5,23,1013.2999877929688,21,8.0,23,2.4000000953674316,23,5.099999904632568,22.0,50.0,1,0.0,1,1,1,1,1,1,2005-10-18
725305,99999,2005,10,31,54.5,23,47.900001525878906,23,1017.9000244140625,17,5.099999904632568,23,8.399999618530273,23,15.0,20.0,51.79999923706055,1,0.0,0,0,0,0,0,0,2005-10-31
725315,99999,2005,4,2,45.29999923706055,23,36.79999923706055,23,1013.7000122070312,17,8.899999618530273,23,16.700000762939453,23,25.100000381469727,34.0,37.0,0,0.1899999976158142,0,0,0,0,0,0,2005-04-02
725326,99999,2005,1,19,29.200000762939453,24,20.0,24,1016.9375852304198,23,9.800000190734863,24,12.300000190734863,24,18.100000381469727,25.100000381469727,14.0,0,0.0,0,0,0,0,0,0,2005-01-19
725326,99999,2005,1,31,30.899999618530273,24,24.5,24,1016.9375852304198,23,9.800000190734863,24,2.200000047683716,24,8.0,22.0,28.399999618530273,0,0.0,0,0,0,0,0,0,2005-01-31
725316,99999,2005,1,8,28.600000381469727,24,25.5,24,1025.300048828125,17,7.300000190734863,24,5.400000095367432,24,11.100000381469727,22.0,26.600000381469727,1,0.10000000149011612,1,1,1,1,1,1,2005-01-08
725314,99999,2005,1,16,15.300000190734863,24,7.199999809265137,24,1042.300048828125,20,8.399999618530273,24,10.100000381469727,24,14.0,19.0,10.899999618530273,0,0.0,0,0,0,0,0,0,2005-01-16
725327,99999,2005,6,28,79.30000305175781,24,70.69999694824219,24,1015.5999755859375,22,5.5,24,7.5,24,15.0,18.100000381469727,73.0,0,0.0,0,0,0,0,0,0,2005-06-28
725327,99999,2005,1,26,33.0,24,28.0,24,1010.0999755859375,22,7.900000095367432,24,11.300000190734863,24,18.100000381469727,25.100000381469727,24.799999237060547,1,0.23999999463558197,1,1,1,1,1,1,2005-01-26
725300,94846,2005,1,4,32.29999923706055,24,29.399999618530273,24,1026.5,22,7.699999809265137,24,9.300000190734863,24,12.0,16.899999618530273,30.0,0,0.3400000035762787,1,1,1,1,1,1,2005-01-04
725330,14827,2005,8,14,70.4000015258789,24,66.0,24,1015.0,24,9.199999809265137,24,2.5,24,7.0,22.0,66.0,0,1.0199999809265137,1,1,1,1,1,1,2005-08-14
725316,99999,2005,2,14,48.0,24,43.599998474121094,24,1005.5,18,9.300000190734863,24,14.600000381469727,24,19.0,27.0,42.79999923706055,1,0.6700000166893005,0,0,0,0,0,0,2005-02-14
725300,94846,2005,2,20,34.099998474121094,24,29.100000381469727,24,1017.2000122070312,24,4.0,24,8.600000381469727,24,13.0,22.0,22.100000381469727,0,0.30000001192092896,1,1,1,1,1,1,2005-02-20
725305,99999,2005,3,20,34.599998474121094,24,26.5,24,1019.9000244140625,20,9.399999618530273,24,8.899999618530273,24,12.0,22.0,30.200000762939453,1,0.0,0,0,0,0,0,0,2005-03-20
725300,94846,2005,3,31,51.29999923706055,24,41.79999923706055,24,1002.7000122070312,24,9.399999618530273,24,14.5,24,22.0,32.099998474121094,42.79999923706055,1,0.6200000047683716,1,1,1,1,1,1,2005-03-31
725305,99999,2005,11,2,48.400001525878906,24,33.900001525878906,24,1017.2999877929688,24,10.0,24,7.800000190734863,24,15.0,22.0,33.79999923706055,1,0.0,0,0,0,0,0,0,2005-11-02
725327,99999,2005,9,18,64.5999984741211,24,55.099998474121094,24,1018.4000244140625,22,7.699999809265137,24,4.400000095367432,24,9.899999618530273,15.899999618530273,51.79999923706055,1,0.009999999776482582,1,1,1,1,1,1,2005-09-18
725315,99999,2005,3,16,36.29999923706055,24,17.600000381469727,24,1021.0999755859375,18,9.800000190734863,24,5.099999904632568,24,11.100000381469727,22.0,23.0,0,0.0,0,0,0,0,0,0,2005-03-16
725320,14842,2005,5,7,68.5999984741211,24,51.70000076293945,24,1016.0999755859375,24,9.800000190734863,24,5.199999809265137,24,12.0,15.899999618530273,48.0,0,0.0,0,0,0,0,0,0,2005-05-07
